项目编码,受助单位名称,资助金额
113130,天津大学北洋教育发展基金会,149700
88223,天津南开大学教育基金会,240000
100042,江苏省残疾人福利基金会,1590714.4
90142,江苏省残疾人福利基金会,1150000
110577,江苏省残疾人福利基金会,367500
124443,江苏省残疾人福利基金会,60000
95227,江苏省儿童少年福利基金会,3284250
95577,江苏省儿童少年福利基金会,100000
80873,江苏省儿童少年福利基金会,3143250
110327,江苏省儿童少年福利基金会,3428500
89839,江苏省扶贫基金会,600000
106385,江苏省扶贫基金会,300000
65316,江苏省青少年发展基金会,600000
65317,江苏省青少年发展基金会,100000
65359,江苏省青少年发展基金会,186501.5
94918,江苏省青少年发展基金会,180000
90078,江苏省青少年发展基金会,600000
105377,江苏省青少年发展基金会,50000
123254,江苏省青少年发展基金会,60
64212,天津市鹤童老年公益基金会,90680
64212,天津市鹤童老年公益基金会,100000
63878,天津中国民航大学教育发展基金会,200000
108476,天津中国民航大学教育发展基金会,100000
69746,天津市残疾人福利基金会,538476.4
69767,天津市残疾人福利基金会,2000000
99948,天津市残疾人福利基金会,475000
100042,天津市残疾人福利基金会,494835.2
100023,天津市残疾人福利基金会,
110549,天津市残疾人福利基金会,1509971.95
110550,天津市残疾人福利基金会,3220400
110579,天津市残疾人福利基金会,309464
110602,天津市残疾人福利基金会,782000
96516,天津市妇女儿童发展基金会,1530000
90108,天津市青少年发展基金会,50000
96888,天津市青少年发展基金会,1000000
96887,天津市青少年发展基金会,360000
83530,天津市青少年发展基金会,1000000
106391,南京大报恩文化发展基金会,200000
73174,巴彦淖尔市人民教育基金会,1000000
103252,巴彦淖尔市人民教育基金会,500000
65321,南京大学教育发展基金会,60000
88223,南京大学教育发展基金会,200000
94882,南京大学教育发展基金会,60000
106425,南京工业大学教育发展基金会,100000
95007,南京理工大学教育发展基金会,648000
70040,包头市扶贫基金会,107452
90145,南京市残疾人福利基金会,200000
83298,科左后旗扶贫助学基金会,119107
90144,南京市中小学幼儿教师奖励基金会,100000
95127,南京外国语学校教育基金会,1500000
102552,南京信息大学教育发展基金会,100000
96890,内蒙古民萌北方生态研究基金会,15000
77639,内蒙古自治区人民教育基金会,3200000
83992,内蒙古自治区人民教育基金会,2265467
69731,内蒙古自治区残疾人福利基金会,470000
69746,内蒙古自治区残疾人福利基金会,2180450
99948,内蒙古自治区残疾人福利基金会,475000
110531,内蒙古自治区残疾人福利基金会,1330000
110537,内蒙古自治区残疾人福利基金会,332500
110571,内蒙古自治区残疾人福利基金会,920000
65137,内蒙古自治区儿童基金会,68000
83516,内蒙古自治区青少年发展基金会,5880205.45
105681,内蒙古自治区青少年发展基金会,622800
96887,内蒙古自治区青少年发展基金会,3554809.5
90106,苏州大学教育发展基金会,5000000
73174,兴安盟人民教育基金会,1000000
103252,兴安盟人民教育基金会,1000000
65698,无锡灵山慈善基金会,250000
99797,无锡灵山慈善基金会,100000
106449,无锡灵山慈善基金会,100000
106522,无锡灵山慈善基金会,50000
105323,无锡灵山慈善基金会,1851783.6
107440,无锡灵山慈善基金会,
110446,无锡灵山慈善基金会,9308917.57
119830,无锡灵山慈善基金会,50000
116932,苏州市吴江区慈善基金会,600000
95007,江苏师范大学教育发展基金会,972000
95007,盐城工学院教育发展基金会,243000
88242,扬州大学教育发展基金会,200000
94966,苏州农业职业技术学院教育发展基金会,300000
65478,扬州市翔宇妇女儿童基金会,315000
96887,黑龙江省青少年发展基金会,6319312.35
83512,黑龙江省青少年发展基金会,8200093.6
95258,黑龙江省妇女儿童基金会,1417710
91841,黑龙江省妇女儿童基金会,849100
64221,黑龙江省妇女儿童基金会,704000
69780,黑龙江省残疾人福利基金会,1400000
99948,黑龙江省残疾人福利基金会,450000
100023,黑龙江省残疾人福利基金会,2000000
100079,黑龙江省残疾人福利基金会,
100001,黑龙江省残疾人福利基金会,
99949,黑龙江省残疾人福利基金会,
83819,黑龙江省残疾人福利基金会,1156000
110549,黑龙江省残疾人福利基金会,1200657.62
110571,黑龙江省残疾人福利基金会,920000
69731,哈尔滨市残疾人福利基金会,5000000
100023,哈尔滨市残疾人福利基金会,2000000
100023,哈尔滨市残疾人福利基金会,
100001,哈尔滨市残疾人福利基金会,
100076,哈尔滨市残疾人福利基金会,
100079,哈尔滨市残疾人福利基金会,
100058,哈尔滨市残疾人福利基金会,
96956,广西和正慈善基金会,43684.99
96972,广西和正慈善基金会,43684.99
97345,黑龙江省华侨经济文化基金会,150000
121707,黑龙江省华侨经济文化基金会,1100000
64290,广西师范大学教育发展基金会,120000
89966,广西师范大学教育发展基金会,170000
96854,广西师范大学教育发展基金会,390000
110453,广西师范大学教育发展基金会,118000
119398,广西师范大学教育发展基金会,370000
102020,广西帮帮忙教育扶贫基金会,85000
81849,南宁市教育基金会,153000
95277,南宁市教育基金会,315000
110339,南宁市教育基金会,90000
110339,南宁市教育基金会,16000
110339,南宁市教育基金会,156500
113469,南宁市教育基金会,300000
82876,广西红十字基金会,1000000
64196,广西壮族自治区扶贫基金会,2100000
61234,广西青少年发展基金会,60000
61237,广西青少年发展基金会,100000
61385,广西青少年发展基金会,280000
80330,广西青少年发展基金会,250000
81849,广西青少年发展基金会,175000
82874,广西青少年发展基金会,306000
89690,广西青少年发展基金会,600000
89781,广西青少年发展基金会,280000
90733,广西青少年发展基金会,12000
112791,广西青少年发展基金会,300000
118844,广西青少年发展基金会,60000
69731,广西残疾人福利基金会,1000000
69746,广西残疾人福利基金会,161172
69746,广西残疾人福利基金会,460600
99948,广西残疾人福利基金会,450000
99949,广西残疾人福利基金会,1000000
99982,广西残疾人福利基金会,332500
110602,广西残疾人福利基金会,782300
83719,广西妇女儿童发展基金会,841200
64224,广西妇女儿童发展基金会,1162000
96516,广西妇女儿童发展基金会,10457482
105768,海南省青少年希望基金会,300000
91212,海南省医疗救助基金会,822000
84318,广东省中山大学教育发展基金会,1000000
90316,广东省中山大学教育发展基金会,2000000
96665,广东省中山大学教育发展基金会,299303
90615,广东省中山大学教育发展基金会,9800000
110448,广东省中山大学教育发展基金会,1500000
123488,广东省中山大学教育发展基金会,604678.82
122029,广东省中山大学教育发展基金会,120000
63532,辽宁省青少年发展基金会,160000
83512,辽宁省青少年发展基金会,6179919
96887,辽宁省青少年发展基金会,3523387
64005,广东省扶贫基金会,240000
64006,广东省扶贫基金会,100000
81917,广东省扶贫基金会,3000000
90616,广东省扶贫基金会,3000000
91092,广东省扶贫基金会,4300000
